OTU,OTU199,OTU453,OTU852,OTU877,OTU1090,OTU1599,OTU1696,OTU2462,OTU2556,OTU2629,OTU2654,OTU2701,OTU238,OTU546,OTU1394,OTU1541,OTU1821,OTU2421,OTU2898,OTU73,OTU538,OTU2855,OTU2938,OTU16,OTU193,OTU578,OTU617,OTU628,OTU699,OTU714,OTU795,OTU879,OTU1064,OTU1142,OTU1480,OTU2167,OTU2588,OTU2771,OTU2785,OTU2934,OTU3112,OTU3129,OTU3018,OTU460,OTU990,OTU2429,OTU2939
2019,0,0,0,0,0,958,10,0,865,8,14,0,0,0,80,870,5042,6,0,0,3,0,0,0,0,0,0,0,62,0,0,0,0,3,59,840,0,0,0,18,0,0,0,1,11,4,0
2018,0,0,0,35,0,16,0,43,20732,0,0,0,0,0,0,1840,12355,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2147,0,0,19,0,0,0,0,4,1,2,0
2016,0,0,0,0,0,0,0,0,2,0,18,0,0,2,0,30,190,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,2087,0,0,0,8,0,0,0,2,0,3,32
2015,0,0,0,0,0,4,3,274,47774,1,7,0,0,13,0,270,1935,3,42,0,16,0,0,0,0,0,0,0,767,0,0,0,0,5,0,270,1,0,6,0,3,0,1,9,8,13,0
2014,0,0,0,224,0,0,8,33,35079,127,224,30,0,0,0,126,1036,0,31,0,12,0,0,0,0,0,0,0,1549,0,0,0,1,18,0,4464,22,0,55,0,5,0,0,1,6,1,33
2012,0,0,0,1,0,67,9,164,45634,29,0,2,0,1,0,0,21,0,0,0,23,2,0,0,0,0,0,0,3267,0,0,0,0,0,0,22,0,132,247,0,0,0,0,17,13,0,28
2010,0,2,0,0,0,0,0,0,29,0,484,0,0,52,0,46,316,0,913,0,4,1,21,0,2622,0,0,11,0,0,0,0,1,245,0,0,0,0,0,77,0,0,0,14,0,0,45
2009,0,19,0,2,0,0,3,6,562,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,6653,11,1,0,4,0,0,43,0,0,2747,0,0,0,2,10,0,0,11
2007,0,0,0,139,0,2692,0,0,121,0,252,0,0,0,0,0,1,0,0,0,11,0,3,0,0,0,0,0,0,1,0,0,603,0,0,189,0,0,347,0,56,26,0,25,0,1,1
2006,0,0,0,0,0,0,0,0,3684,0,8,0,0,0,0,7,91,0,0,7,0,0,0,13,37383,0,0,8,0,4,0,0,1764,0,0,0,0,0,1177,0,0,0,0,38,2,0,0
2004,5802,105,0,1,0,17,0,0,18627,0,7,0,6,0,0,0,8,0,0,0,22,0,0,1,99,0,0,0,0,4,0,0,1860,0,0,0,0,0,1451,0,0,0,0,39,0,0,2
2003,0,0,1819,0,0,141,2,0,0,0,0,0,0,12103,0,5,17,0,0,0,89,9,0,0,0,7,0,0,0,0,0,0,0,396,0,4418,0,0,1003,0,0,0,0,89,0,0,0
2001,78,0,0,3,0,4,0,0,0,0,0,0,0,0,0,55,343,0,0,0,21,0,0,0,2200,0,2,6,0,1,0,0,2,0,0,0,0,0,370,0,0,0,0,15,2,0,0
2000,0,21,1622,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,114,0,0,0,2495,393,0,0,553,134,0,0,0,2,5155,0,0,0,0,4,0,0,0
1998,0,34,2402,33,0,119,0,0,2,0,0,0,217,0,0,1,26,0,0,0,84,0,0,0,144,0,0,0,441,225,7,4,143,52,0,0,0,0,8709,0,0,0,0,26,0,2,1379
1997,0,0,2291,0,0,22837,10,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,845,0,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,18,8,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,3981,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,0,0,0,0,0,63,0,0,0,0,0,0,0,0
1994,0,0,2105,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,2,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2086,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,9526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,9888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,2,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0